Model,MDO3014
Firmware Version,1.30

Waveform Type,ANALOG,,,,,Waveform Type,DIGITAL
Point Format,Y,,,,,Point Format,Y
Horizontal Units,s,,,,,Horizontal Units,s
Horizontal Scale,4e-07,,,,,Horizontal Scale,4e-07
Horizontal Delay,4.28e-07,,,,,,
Sample Interval,4e-10,,,,,Sample Interval,2e-09
Record Length,10000,,,,,Record Length,2000
Gating,0.0% to 100.0%,,,,,Gating,0.1% to 100.0%
Probe Attenuation,10,10,1000,1,,,
Vertical Units,V,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,0,,Threshold Used,3.04
Vertical Scale,100,2,2000,1,,,
Vertical Position,-0.06,-3.32,-2.38,-4.08,,,
,,,,,,,
,,,,,,,
,,,,,,,
Label,di/dt,Current,MCP,Trigger,,Label,
TIME,CH1,CH2,CH3,CH4,,TIME,D0
-1.4888e-06,2,8.88178e-16,-40,-0.04,,-1.156e-06,0
-1.4884e-06,2,8.88178e-16,40,0,,-1.154e-06,0
-1.4880e-06,-2,8.88178e-16,40,0,,-1.152e-06,0
-1.4876e-06,2,0.08,-40,0,,-1.150e-06,0
-1.4872e-06,6,8.88178e-16,-40,0,,-1.148e-06,0
-1.4868e-06,2,8.88178e-16,40,0,,-1.146e-06,0
-1.4864e-06,2,8.88178e-16,-40,0,,-1.144e-06,0
-1.4860e-06,2,0.08,40,-0.04,,-1.142e-06,0
-1.4856e-06,2,0.08,40,-0.04,,-1.140e-06,0
-1.4852e-06,2,0.08,-40,0,,-1.138e-06,0
-1.4848e-06,2,8.88178e-16,-40,0.08,,-1.136e-06,0
-1.4844e-06,-6,-0.08,-40,0,,-1.134e-06,0
-1.4840e-06,-6,8.88178e-16,40,0,,-1.132e-06,0
-1.4836e-06,-2,8.88178e-16,40,-0.04,,-1.130e-06,0
-1.4832e-06,-2,8.88178e-16,-40,0,,-1.128e-06,0
-1.4828e-06,-2,8.88178e-16,40,0,,-1.126e-06,0
-1.4824e-06,-2,0.08,40,0,,-1.124e-06,0
-1.4820e-06,2,8.88178e-16,120,-0.04,,-1.122e-06,0
-1.4816e-06,2,8.88178e-16,40,0,,-1.120e-06,0
-1.4812e-06,2,8.88178e-16,40,-0.04,,-1.118e-06,0
-1.4808e-06,-2,8.88178e-16,40,-0.04,,-1.116e-06,0
-1.4804e-06,-2,-0.08,40,0,,-1.114e-06,0
-1.4800e-06,2,8.88178e-16,40,-0.04,,-1.112e-06,0
-1.4796e-06,-2,-0.08,40,-0.04,,-1.110e-06,0
-1.4792e-06,2,0.08,40,0,,-1.108e-06,0
-1.4788e-06,-2,0.08,40,0,,-1.106e-06,0
-1.4784e-06,2,0.08,40,-0.04,,-1.104e-06,0
-1.4780e-06,-2,8.88178e-16,120,-0.04,,-1.102e-06,0
-1.4776e-06,2,8.88178e-16,40,-0.08,,-1.100e-06,0
-1.4772e-06,2,0.08,120,0,,-1.098e-06,0
-1.4768e-06,2,8.88178e-16,40,0,,-1.096e-06,0
-1.4764e-06,2,8.88178e-16,120,-0.04,,-1.094e-06,0
-1.4760e-06,2,0.08,40,-0.04,,-1.092e-06,0
-1.4756e-06,-2,0.08,-40,-0.04,,-1.090e-06,0
-1.4752e-06,-2,8.88178e-16,-40,0.04,,-1.088e-06,0
-1.4748e-06,2,8.88178e-16,40,0,,-1.086e-06,0
-1.4744e-06,2,8.88178e-16,40,-0.04,,-1.084e-06,0
-1.4740e-06,2,0.08,40,0,,-1.082e-06,0
-1.4736e-06,2,8.88178e-16,40,-0.04,,-1.080e-06,0
-1.4732e-06,2,8.88178e-16,40,-0.04,,-1.078e-06,0
-1.4728e-06,2,8.88178e-16,-40,-0.04,,-1.076e-06,0
-1.4724e-06,-2,0.08,-40,-0.04,,-1.074e-06,0
-1.4720e-06,-2,8.88178e-16,40,0,,-1.072e-06,0
-1.4716e-06,-6,0.08,-40,-0.04,,-1.070e-06,0
-1.4712e-06,2,0.08,40,0,,-1.068e-06,0
-1.4708e-06,2,8.88178e-16,-40,-0.04,,-1.066e-06,0
-1.4704e-06,2,-0.08,-120,0,,-1.064e-06,0
-1.4700e-06,2,-0.08,40,-0.04,,-1.062e-06,0
-1.4696e-06,2,8.88178e-16,40,0,,-1.060e-06,0
-1.4692e-06,-2,8.88178e-16,40,0,,-1.058e-06,0
-1.4688e-06,2,8.88178e-16,120,-0.04,,-1.056e-06,0
-1.4684e-06,-2,0.16,40,-0.04,,-1.054e-06,0
-1.4680e-06,2,8.88178e-16,40,-0.04,,-1.052e-06,0
-1.4676e-06,2,-0.08,40,-0.04,,-1.050e-06,0
-1.4672e-06,-2,8.88178e-16,-40,0,,-1.048e-06,0
-1.4668e-06,-2,-0.08,-40,0,,-1.046e-06,0
-1.4664e-06,-2,-0.08,-40,-0.04,,-1.044e-06,0
-1.4660e-06,-2,8.88178e-16,-40,-0.04,,-1.042e-06,0
-1.4656e-06,-2,8.88178e-16,40,0.04,,-1.040e-06,0
-1.4652e-06,-2,0.08,-40,0,,-1.038e-06,0
-1.4648e-06,-2,0.08,-40,0,,-1.036e-06,0
-1.4644e-06,2,0.08,40,0.04,,-1.034e-06,0
-1.4640e-06,2,8.88178e-16,120,0,,-1.032e-06,0
-1.4636e-06,2,8.88178e-16,40,-0.04,,-1.030e-06,0
-1.4632e-06,2,0.08,-40,-0.04,,-1.028e-06,0
-1.4628e-06,2,-0.08,-40,-0.04,,-1.026e-06,0
-1.4624e-06,2,8.88178e-16,-40,-0.04,,-1.024e-06,0
-1.4620e-06,-2,8.88178e-16,40,0,,-1.022e-06,0
-1.4616e-06,-2,0.08,40,0.04,,-1.020e-06,0
-1.4612e-06,2,8.88178e-16,120,0,,-1.018e-06,0
-1.4608e-06,2,-0.08,120,0,,-1.016e-06,0
-1.4604e-06,2,-0.08,40,0,,-1.014e-06,0
-1.4600e-06,-2,8.88178e-16,120,0,,-1.012e-06,0
-1.4596e-06,2,0.08,120,-0.04,,-1.010e-06,0
-1.4592e-06,2,0.08,120,-0.04,,-1.008e-06,0
-1.4588e-06,-2,8.88178e-16,40,0,,-1.006e-06,0
-1.4584e-06,-6,8.88178e-16,40,-0.04,,-1.004e-06,0
-1.4580e-06,-6,8.88178e-16,40,0,,-1.002e-06,0
-1.4576e-06,-2,8.88178e-16,40,0,,-1.000e-06,0
-1.4572e-06,-2,8.88178e-16,40,0.04,,-9.980e-07,0
-1.4568e-06,-2,8.88178e-16,40,-0.04,,-9.960e-07,0
-1.4564e-06,-2,8.88178e-16,40,0.04,,-9.940e-07,0
-1.4560e-06,-2,8.88178e-16,40,-0.08,,-9.920e-07,0
-1.4556e-06,2,8.88178e-16,-40,-0.04,,-9.900e-07,0
-1.4552e-06,2,8.88178e-16,-40,0,,-9.880e-07,0
-1.4548e-06,2,-0.08,-40,0,,-9.860e-07,0
-1.4544e-06,2,8.88178e-16,40,0,,-9.840e-07,0
-1.4540e-06,2,8.88178e-16,40,-0.04,,-9.820e-07,0
-1.4536e-06,2,-0.16,40,0,,-9.800e-07,0
-1.4532e-06,-2,0.08,-40,-0.04,,-9.780e-07,0
-1.4528e-06,-6,0.08,40,-0.04,,-9.760e-07,0
-1.4524e-06,-2,8.88178e-16,-40,0,,-9.740e-07,0
-1.4520e-06,-6,8.88178e-16,40,0,,-9.720e-07,0
-1.4516e-06,-2,8.88178e-16,40,-0.04,,-9.700e-07,0
-1.4512e-06,2,8.88178e-16,40,-0.04,,-9.680e-07,0
-1.4508e-06,-2,8.88178e-16,40,0.04,,-9.660e-07,0
-1.4504e-06,2,8.88178e-16,120,0,,-9.640e-07,0
-1.4500e-06,2,-0.08,-40,0,,-9.620e-07,0
-1.4496e-06,-2,8.88178e-16,40,-0.04,,-9.600e-07,0
-1.4492e-06,-2,8.88178e-16,-40,0,,-9.580e-07,0
-1.4488e-06,-2,-0.08,40,-0.04,,-9.560e-07,0
-1.4484e-06,-2,0.08,40,-0.04,,-9.540e-07,0
-1.4480e-06,2,0.08,40,-0.04,,-9.520e-07,0
-1.4476e-06,2,0.08,40,-0.04,,-9.500e-07,0
-1.4472e-06,2,0.08,40,-0.04,,-9.480e-07,0
-1.4468e-06,2,-0.08,-40,-0.08,,-9.460e-07,0
-1.4464e-06,-2,8.88178e-16,40,0,,-9.440e-07,0
-1.4460e-06,-2,8.88178e-16,-40,0,,-9.420e-07,0
-1.4456e-06,-2,0.08,40,0,,-9.400e-07,0
-1.4452e-06,-2,-0.08,40,-0.04,,-9.380e-07,0
-1.4448e-06,2,8.88178e-16,40,0,,-9.360e-07,0
-1.4444e-06,2,8.88178e-16,40,-0.04,,-9.340e-07,0
-1.4440e-06,2,8.88178e-16,40,0,,-9.320e-07,0
-1.4436e-06,2,8.88178e-16,40,0,,-9.300e-07,0
-1.4432e-06,2,8.88178e-16,-40,0.04,,-9.280e-07,0
-1.4428e-06,-2,0.08,-40,0,,-9.260e-07,0
-1.4424e-06,2,0.08,-40,0.04,,-9.240e-07,0
