lambda_nm,intensity
6.936072998046875000e+02,3.974300809204578400e-03
6.933836059570312500e+02,2.157900016754865646e-03
6.931599121093750000e+02,2.585588023066520691e-03
6.929362182617187500e+02,3.476573387160897255e-03
6.927125854492187500e+02,3.482307307422161102e-03
6.924888916015625000e+02,3.155611455440521240e-03
6.922651977539062500e+02,2.864422975108027458e-03
6.920415039062500000e+02,4.270034376531839371e-03
6.918178100585937500e+02,5.002800375223159790e-03
6.915941162109375000e+02,3.432139521464705467e-03
6.913704223632812500e+02,3.213393734768033028e-03
6.911467895507812500e+02,3.345802193507552147e-03
6.909230957031250000e+02,3.672043792903423309e-03
6.906994018554687500e+02,2.376619726419448853e-03
6.904757080078125000e+02,2.898685168474912643e-03
6.902520141601562500e+02,3.944324329495429993e-03
6.900283203125000000e+02,5.156129598617553711e-03
6.898046264648437500e+02,5.776506848633289337e-03
6.895809936523437500e+02,4.491767380386590958e-03
6.893572998046875000e+02,2.059408696368336678e-03
6.891336059570312500e+02,2.760871546342968941e-03
6.889099121093750000e+02,4.201306495815515518e-03
6.886862182617187500e+02,4.260688088834285736e-03
6.884625244140625000e+02,4.381107166409492493e-03
6.882388305664062500e+02,4.777997266501188278e-03
6.880151977539062500e+02,5.499294959008693695e-03
6.877915039062500000e+02,4.019708372652530670e-03
6.875678100585937500e+02,2.060374943539500237e-03
6.873441162109375000e+02,2.671399852260947227e-03
6.871204223632812500e+02,3.667913377285003662e-03
6.868967285156250000e+02,3.443376393988728523e-03
6.866730346679687500e+02,2.975305309519171715e-03
6.864494018554687500e+02,2.613808028399944305e-03
6.862257080078125000e+02,2.246005460619926453e-03
6.860020141601562500e+02,2.748767845332622528e-03
6.857783203125000000e+02,3.350208047777414322e-03
6.855546264648437500e+02,2.846762072294950485e-03
6.853309326171875000e+02,2.141366712749004364e-03
6.851072387695312500e+02,2.536002080887556076e-03
6.848836059570312500e+02,3.432520199567079544e-03
6.846599121093750000e+02,3.559873206540942192e-03
6.844362182617187500e+02,3.599714254960417747e-03
6.842125244140625000e+02,3.667913377285003662e-03
6.839888305664062500e+02,3.982194699347019196e-03
6.837651367187500000e+02,4.156132694333791733e-03
6.835414428710937500e+02,3.398539498448371887e-03
6.833178100585937500e+02,3.551178378984332085e-03
6.830941162109375000e+02,3.748547984287142754e-03
6.828704223632812500e+02,3.093715989962220192e-03
6.826467285156250000e+02,2.591411350294947624e-03
6.824230346679687500e+02,3.843774087727069855e-03
6.821993408203125000e+02,4.582650028169155121e-03
6.819756469726562500e+02,4.385603591799736023e-03
6.817520141601562500e+02,4.391060210764408112e-03
6.815283203125000000e+02,4.129692912101745605e-03
6.813046264648437500e+02,3.793456824496388435e-03
6.810809326171875000e+02,3.266673535108566284e-03
6.808572387695312500e+02,2.264217706397175789e-03
6.806335449218750000e+02,2.868807408958673477e-03
6.804098510742187500e+02,4.049705341458320618e-03
6.801862182617187500e+02,5.616097711026668549e-03
6.799625244140625000e+02,5.585367325693368912e-03
6.797388305664062500e+02,2.939590718597173691e-03
6.795151367187500000e+02,3.725714515894651413e-03
6.792914428710937500e+02,4.830020014196634293e-03
6.790677490234375000e+02,5.649854429066181183e-03
6.788440551757812500e+02,4.993698559701442719e-03
6.786204223632812500e+02,3.738359548151493073e-03
6.783967285156250000e+02,4.456147085875272751e-03
6.781730346679687500e+02,5.326598882675170898e-03
6.779493408203125000e+02,4.705749452114105225e-03
6.777256469726562500e+02,4.707693122327327728e-03
6.775019531250000000e+02,4.697829484939575195e-03
6.772782592773437500e+02,4.351784940809011459e-03
6.770546264648437500e+02,4.196521360427141190e-03
6.768309326171875000e+02,5.016742739826440811e-03
6.766072387695312500e+02,5.997191648930311203e-03
6.763835449218750000e+02,6.412602961063385010e-03
6.761598510742187500e+02,5.798338912427425385e-03
6.759361572265625000e+02,6.607064511626958847e-03
6.757125244140625000e+02,7.712866645306348801e-03
6.754888305664062500e+02,6.552732549607753754e-03
6.752651367187500000e+02,5.489422008395195007e-03
6.750414428710937500e+02,6.611538585275411606e-03
6.748177490234375000e+02,7.079823873937129974e-03
6.745940551757812500e+02,5.791057366877794266e-03
6.743703613281250000e+02,6.922503001987934113e-03
6.741467285156250000e+02,8.317743428051471710e-03
6.739230346679687500e+02,6.832927931100130081e-03
6.736993408203125000e+02,4.895917605608701706e-03
6.734756469726562500e+02,4.270916339010000229e-03
6.732519531250000000e+02,5.220680963248014450e-03
6.730282592773437500e+02,6.123785860836505890e-03
6.728045654296875000e+02,5.889560561627149582e-03
6.725808715820312500e+02,4.773504100739955902e-03
6.723572387695312500e+02,6.017019040882587433e-03
6.721335449218750000e+02,8.227366022765636444e-03
6.719098510742187500e+02,8.267399854958057404e-03
6.716861572265625000e+02,7.610297296196222305e-03
6.714624633789062500e+02,6.989688612520694733e-03
6.712387695312500000e+02,6.385525688529014587e-03
6.710150756835937500e+02,5.412505473941564560e-03
6.707914428710937500e+02,3.331243293359875679e-03
6.705677490234375000e+02,5.029460415244102478e-03
