lambda_nm,intensity
6.079954223632812500e+02,1.290151476860046387e-02
6.082451171875000000e+02,1.340625248849391937e-02
6.084948730468750000e+02,1.325673330575227737e-02
6.087445678710937500e+02,1.211443170905113220e-02
6.089943237304687500e+02,1.261298079043626785e-02
6.092440185546875000e+02,1.287007890641689301e-02
6.094937744140625000e+02,1.284760423004627228e-02
6.097434692382812500e+02,1.304085738956928253e-02
6.099932250976562500e+02,1.299831643700599670e-02
6.102429199218750000e+02,1.496183499693870544e-02
6.104926757812500000e+02,1.502942014485597610e-02
6.107423706054687500e+02,1.510882098227739334e-02
6.109921264648437500e+02,1.328949071466922760e-02
6.112418212890625000e+02,1.328782923519611359e-02
6.114915771484375000e+02,1.462333370000123978e-02
6.117413330078125000e+02,1.492711156606674194e-02
6.119910278320312500e+02,1.415237504988908768e-02
6.122407226562500000e+02,1.376601960510015488e-02
6.124904785156250000e+02,1.270675379782915115e-02
6.127402343750000000e+02,1.277385931462049484e-02
6.129899291992187500e+02,1.497361529618501663e-02
6.132396240234375000e+02,1.250426471233367920e-02
6.134893798828125000e+02,1.235475670546293259e-02
6.137391357421875000e+02,1.346443127840757370e-02
6.139888305664062500e+02,1.404390949755907059e-02
6.142385253906250000e+02,1.420796290040016174e-02
6.144882812500000000e+02,1.555686537176370621e-02
6.147380371093750000e+02,1.582482829689979553e-02
6.149877319335937500e+02,1.609005965292453766e-02
6.152374877929687500e+02,1.854205504059791565e-02
6.154871826171875000e+02,2.267963625490665436e-02
6.157369384765625000e+02,2.631784789264202118e-02
6.159866333007812500e+02,2.808207273483276367e-02
6.162363891601562500e+02,3.079262562096118927e-02
6.164860839843750000e+02,3.046050108969211578e-02
6.167358398437500000e+02,2.395219914615154266e-02
6.169855346679687500e+02,2.374748326838016510e-02
6.172352905273437500e+02,2.577499113976955414e-02
6.174849853515625000e+02,2.299825474619865417e-02
6.177347412109375000e+02,1.982401311397552490e-02
6.179844970703125000e+02,1.845867931842803955e-02
6.182341918945312500e+02,1.620442792773246765e-02
6.184838867187500000e+02,1.409917883574962616e-02
6.187336425781250000e+02,1.376335695385932922e-02
6.189833984375000000e+02,1.542374026030302048e-02
6.192330932617187500e+02,1.574260927736759186e-02
6.194827880859375000e+02,1.509040407836437225e-02
6.197325439453125000e+02,1.482965424656867981e-02
6.199822998046875000e+02,1.466042827814817429e-02
6.202319946289062500e+02,1.556556764990091324e-02
6.204816894531250000e+02,1.594184711575508118e-02
6.207314453125000000e+02,1.597084850072860718e-02
6.209812011718750000e+02,1.562876626849174500e-02
6.212308959960937500e+02,1.504721492528915405e-02
6.214805908203125000e+02,1.487074606120586395e-02
6.217303466796875000e+02,1.545224338769912720e-02
6.219801025390625000e+02,1.588721014559268951e-02
6.222297973632812500e+02,1.595122553408145905e-02
6.224795532226562500e+02,1.455134712159633636e-02
6.227292480468750000e+02,1.466354634612798691e-02
6.229790039062500000e+02,1.503858342766761780e-02
6.232286987304687500e+02,1.630321890115737915e-02
6.234784545898437500e+02,1.646881178021430969e-02
6.237281494140625000e+02,1.513915788382291794e-02
6.239779052734375000e+02,1.497600041329860687e-02
6.242276000976562500e+02,1.509597618132829666e-02
6.244773559570312500e+02,1.496397610753774643e-02
6.247270507812500000e+02,1.578491367399692535e-02
6.249768066406250000e+02,1.542883459478616714e-02
6.252265625000000000e+02,1.456248015165328979e-02
6.254762573242187500e+02,1.522996742278337479e-02
6.257259521484375000e+02,1.630189083516597748e-02
6.259757080078125000e+02,1.673313230276107788e-02
6.262254638671875000e+02,1.595169305801391602e-02
6.264751586914062500e+02,1.658729091286659241e-02
6.267248535156250000e+02,1.615800708532333374e-02
6.269746093750000000e+02,1.609980128705501556e-02
6.272243652343750000e+02,1.654740981757640839e-02
6.274740600585937500e+02,1.607059873640537262e-02
6.277237548828125000e+02,1.514874771237373352e-02
6.279735107421875000e+02,1.343126408755779266e-02
6.282232666015625000e+02,1.324351876974105835e-02
6.284729614257812500e+02,1.473549939692020416e-02
6.287226562500000000e+02,1.613629236817359924e-02
6.289724121093750000e+02,1.766931451857089996e-02
6.292221679687500000e+02,1.881202869117259979e-02
6.294718627929687500e+02,1.993715390563011169e-02
