lambda_nm,intensity
5.825348510742187500e+02,1.057354174554347992e-02
5.823110961914062500e+02,1.146797556430101395e-02
5.820873413085937500e+02,1.144145242869853973e-02
5.818635864257812500e+02,1.187671255320310593e-02
5.816398315429687500e+02,1.212438195943832397e-02
5.814160766601562500e+02,1.204139832407236099e-02
5.811923217773437500e+02,1.245034020394086838e-02
5.809685668945312500e+02,1.230559684336185455e-02
5.807448120117187500e+02,1.138267014175653458e-02
5.805210571289062500e+02,1.150033995509147644e-02
5.802973022460937500e+02,1.198781933635473251e-02
5.800735473632812500e+02,1.181933563202619553e-02
5.798497924804687500e+02,1.187075022608041763e-02
5.796260375976562500e+02,1.193197909742593765e-02
5.794022827148437500e+02,1.168853510171175003e-02
5.791785278320312500e+02,1.174145564436912537e-02
5.789547729492187500e+02,1.247201859951019287e-02
5.787310180664062500e+02,1.282377913594245911e-02
5.785072021484375000e+02,1.170451007783412933e-02
5.782835083007812500e+02,1.178620848804712296e-02
5.780597534179687500e+02,1.206594705581665039e-02
